Abellanas M., (1991)., Matematica discreta., Macrobit.,Facultad de Ingeniería (División de Estudios Profesionales).,
Comellas F., (2002)., Matematica discreta., Alfaomega.,Facultad de Ingeniería (Anexo).,
Epp S. García Hernández A. & Epp S., (2012)., Matemáticas discretas con aplicaciones (Cuarta edición)., Cengage Learning Editores.,Facultad de Ingeniería (Anexo).,
Espinosa Armenta R., (2010)., Matemáticas discretas (2a edición)., Alfaomega.,Facultad de Ingeniería (Anexo).,
García Merayo F., (2015)., Matemática discreta (3a edición)., Paraninfo.,Facultad de Ingeniería (Anexo).,
Lipschutz S. Lars Lipson M. & Villagómez Velázquez H., (2009)., Matemáticas discretas., McGraw-Hill Interamericana.,Facultad de Ingeniería (Anexo).,
Moreno García J. & Pazos Sierra J., (2015)., Matemática discreta (2.ª edición)., Centro de Estudios Financieros.,Facultad de Ingeniería (Anexo).,
Scheinerman E. & Gonzalez Pozo V., (2001)., Matemáticas discretas., Thomson Learning.,Facultad de Ingeniería (Anexo).,
Scheinerman R. & Gonzalez Pozo V., (2001)., Matemáticas discretas., Thomson Learning.,Facultad de Ingeniería (Posgrado).,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingeniería (Anexo).,
Tremblay P. Rama M. & Rangel Gutiérrez R., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ingeniería (División de Estudios Profesionales).,
Zaldívar Esquivel O. & Zaldívar Zamorategui O., (2011)., Estructuras discretas: lógica proposicional y cálculo de predicados: cuaderno de ejercicios., UNAM.,Facultad de Ingeniería (División de Estudios Profesionales).,
