Biggs L. & Noy M., (1994)., Matematica discreta., Vicens Vives.,Facultad de Ciencias.,
Bogart K. P.- Villagómez Velázquez H. & Bogart K. P., (1996)., Matemáticas discretas., Limusa.,Facultad de Química (División de Estudios Profesionales).,
Bogart K. Villagómez Velázquez H & Bogart P., (1996)., Matemáticas discretas., Limusa.,Facultad de Ciencias.,
Epp S. García Hernández E. & Epp S., (2012)., Matemáticas discretas con aplicaciones (Cuarta edición)., Cengage Learning.,Facultad de Ciencias.,
Espinosa Armenta R., (2010)., Matemáticas discretas., Alfaomega.,Facultad de Economía (División de Estudios Profesionales).,
Ferrando C. & Gregori V., (1995)., Matematica discreta (2a ed.)., Reverte.,Facultad de Ciencias.,
Ferrando J. & Gregori V., (1994)., Matematica discreta., Reverte.,Facultad de Ciencias.,
García Merayo F., (2015)., Matemática discreta (3a edición)., Paraninfo.,Facultad de Ciencias.,
Johnsonbaugh R. & González Osuna M. A., (2005)., Matemáticas discretas (Sexta edicón)., Pearson Educación.,Facultad de Economía (División de Estudios Profesionales).,
Lipschutz S.- Lars Lipson M. & Villagómez Velázquez H., (2009)., Matemáticas discretas., McGraw-Hill Interamericana.,Facultad de Química (División de Estudios Profesionales).,
Miranda E. & Viso Gurovich E., (2010)., Matemáticas discretas., UNAM., Facultad de Ciencias.,
Moreno García J.J. & Pazos Sierra J., (2015)., Matemática discreta (2.ª edición)., Centro de Estudios Financieros.,Facultad de Economía (División de Estudios Profesionales).,
Ross A. Wright B. Oteyza M. Ross A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Facultad de Ciencias.,
Ross K. A.- Oteyza M. & Ross K. A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Instituto de Matemáticas(UNAM).,
Ross K. A.- Wright C. R. B.- Oteyza M. & Ross K. A., (1990)., Matemáticas discretas (2nd ed.)., Prentice Hall.,Facultad de Economía (División de Estudios Profesionales).,
Tremblay J.P.- Rama M. & Rangel Gutiérrez R. H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Instituto de Matemáticas(UNAM).,
Tremblay P. Rama M. & Rangel Gutiérrez H., (1996)., Matematicas discretas: con aplicacion a las ciencias de la computacion., CECSA.,Facultad de Ciencias.,
Trias Pairó J., (2001)., Matemàtica discreta: problemes resolts., Universitat Politècnica de Catalunya.,Facultad de Ciencias.,
